Sentiment,Text
θλίψη,"['λυπάμαι', 'ακούω', 'εδώ', 'ο', 'αισιόδοξο', 'τα', 'πράγμαα', 'γίνω', 'καλύτερα', 'όλους']"
έκπληξη,"['ολοκληρώνομαι', 'ερωτηματολόγιο', 'facebook', 'τη', 'στιγμός', 'πρωί', ',', 'ειδικά', 'παρασκευή', 'πρωί']"
θλίψη,"['να', 'ακυρώσω', 'wow', 'τώρα']"
θλίψη,"['ναι', 'λυπημένος', 'το', 'λογαριασμό', 'μου', 'ravenclaw', 'αρέσω', 'το', 'λογαριασμό', 'κομμάτι']"
θλίψη,"['αργά', 'το', '2', 'κάνω']"
θλίψη,"['φορά', 'εύχομαι', 'τα', 'πράγμαα', 'μπορώ', 'επανέλθω', 'τρόπο', 'ήταν', 'αρχές', 'περασμένος', 'καλοκαιρί']"
θλίψη,"['αισθάνομαι', 'ίδιος', 'τρόπο', ',', 'υποθέτω', 'δεν', 'σημασία', 'είμαι', 'θα', 'πάντα']"
θλίψη,"['χαριτωμένο', 'κορίτσι', 'Μαλαισίας', 'ήρθε', 'φαίνεται', 'χώρος', 'ενοικίαση', 'δυστυχώς', 'πιστεύω', 'ήταν', 'το', 'λίγος', 'παραπλανητικό', 'απογοητευτικό']"
έκπληξη,"['wheelock', '250', 'μονάδα', 'ενισχυτή', 'τους', 'τουρίστα', 'από', 'σήμερα']"
έκπληξη,"['λοξοτομώ', 'μυστικό']"
έκπληξη,"['λυπούμαι', 'δεν', 'σκέφτομαι', 'θα', 'μείνω', 'σε', 'σύγκριση', 'αυτό', 'έμοιαζο', 'μοιάζω']"
θλίψη,"['φορά', 'στέλνω', 'μήνυμας', 'ηλεκτρονικός', 'ταχυδρομείο', 'προπονητή', 'μου', ',', 'αισθάνομαι', 'ανάγκη', 'ασχοληθάω', 'τα', 'balls']"
θλίψη,"['μαστίζω', 'δεν', 'αφήνω', 'ακολουθήσω']"
θλίψη,"['κοιμηθώ', 'ειρηνικά', 'ήθελε', 'τον', 'ακούσω', 'να', 'λέω', 'καληνύχτα', ',', 'αυτό', 'συμβεί', 'καληνύχτα', 'καθένα']"
θλίψη,"['μαμάδε', 'προσπαθώ', 'με', 'κάνω', 'νιώθω', 'είμαι', 'έτοιμος', 'σταματήσω', 'ψηφοφορία', 'δεν', 'κέρδομαι', 'shortstack', 'σχεδόν', 'φώναξας']"
έκπληξη,"['σκέφτομαι', 'πολύ', 'im', 'δουλειά']"
θλίψη,"['έχω', 'δει', 'muffin', 'δύο', 'ολόκληρες', 'μέρα']"
θλίψη,"['αγνοήστε', 'yall', 'δώστε', 'ευχαριστία']"
έκπληξη,"['έτος', 'χάσμα', 'γίνομαι', 'γρήγορο']"
θλίψη,"['βρήκα', 'διαμερίσματο', 'ποντικί', 'djs', 'φυσικά', 'έχω', 'μείνω', 'μέγεθος']"
έκπληξη,"['δεν', 'αγκαλιάζω']"
θλίψη,"['γνωρίζω', 'τα', 'πράγμαα', 'θα', 'το']"
θλίψη,"['πηγαίνω', 'ύπνο', 'κοιμηθούμε', 'παίζω', 'εφαρμογέ', 'πρόκειται', 'πιπιλίζω']"
θλίψη,"['μπορώ', 'πιστεύω', 'το', 'gear', 'τραγούδι', 'κλαπώ', 'τόσο', 'απογοητευμένο', 'bit']"
θλίψη,"['θέλω', 'έχω', '4', 'αλλά', 'id', 'χρειάζομαι', 'για', 'το', 'παίξει']"
θλίψη,"['δόντι', 'το', 'κεφάλι', 'πονώ']"
θλίψη,"['hate', 'ζόμπι', 'ταινία', 'ενισχυθώ', 'μυρωδιά', 'ζιζανίο']"
θλίψη,"['είναι', 'συλληφθώ', 'ανάπτυξη', 'λυπημένο']"
θλίψη,"['συνεχίζω', 'χάνω', 'οπαδού', 'είναι', 'λυπηρό', 'θέλω', '90', 'ημέρα', 'στόχος', 'd']"
θλίψη,"['αισθάνομαι', 'αποπληθωρισμένος', 'ακόμα', 'σκυλάκι']"
θλίψη,"['απλά', 'έπρεπε', 'αδειάσω', 'σκουπίδια', 'στο', 'ένα', 'τα', 'μεγαλυτερη', 'πράγμαα', 'που', 'έχω', 'κάνω', 'ζωή', '8000', 'φωτογραφία', 'gone']"
θλίψη,"['επαφή', 'Φιλιππίνες', 'μπορώ', 'βρω', 'ένας', 'νέος', 'ιδιοκτήτης', 'τόσο', 'θλιβερό', 'αγαπώ', 'σκύλο', 'soo']"
θλίψη,"['πήρος', 'σπίτι', 'θέλω', 'διαβάσω', 'τελευταίος', 'της', 'θορυβώδει', 'αυγή', 'προκαλώ', 'θέλω', 'είναι']"
θλίψη,"['κατάστημα', 'movie', 'κλειστό']"
θλίψη,"['alo', 'τόσο', 'λυπηρό', 'ήσυχο', 'άδειος']"
θλίψη,"['πού', 'κατευθύνομαι', 'να', 'ακυρώσω', 'το', 'ταξίδι', 'στο']"
θλίψη,"['θλιβερό', 'ο', 'lacroix', 'έπρεπε', 'καταθέσω', 'πτώχευση']"
θλίψη,"['νιώθω', 'καθε', 'γαμώkk']"
θλίψη,"['να', 'πηγαίνω', 'στο', 'τρομακτικό']"
θλίψη,"['swift', 'joe', 'κοίταξε', 'καλά', 'im', 'λυπηρό', 'έσπασαν']"
θλίψη,"['Θεός', 'θέλω', 'να', 'κοιμηθάω']"
θλίψη,"['Βρήκα', 'βιβλίο', 'ξεκινώντας', 'πραγματικό', 'περιοδικό', 'απόψε', 'ένα', 'ενοχλητικό', 'πάνω', 'το', 'χείλι', 'μου', 'φαίνεται', 'έχω', 'έρπητας']"
θλίψη,"['αλλά', ',', 'όμως', ',', 'θέλω']"
θλίψη,"['κοριτσάκι', 'τόσο', 'κάτω', ',', 'πρέπει', 'με', 'ενημερώσω', 'μπορώ', 'να', 'πάρω', 'κιτ', 'μαζί', 'ενισχυτός', 'πήρος', 'φυλλάδιο', 'επόμενος', 'σαββατοκύριακος', 'κατω']"
θλίψη,"['booooooo', 'να', 'άρρωστος', 'χτυπήματας', 'i', 'δεν', 'πολλούς', 'φίλου', 'είτε', 'αισθάνομαι', 'κουτσό']"
θλίψη,"['αισθάνομαι', 'άρρωσ', 'στομάχι', 'και', 'γιατί']"
έκπληξη,"['φίλε', 'είδο', 'sf', 'φωτογραφία', 'μοιάζω', 'μίνι', 'εκδρομή', 'ήταν', 'κλωτσιά', 'κώλο', 'δείτε', 'οποιοδήποτε', 'ήλιο', ',', 'είμαι', 'tho']"
θλίψη,"['ρίχτηκε', 'το', 'χθες', 'έπρεπε', 'μεταφερθώ', 'er']"
θλίψη,"['σύνδεση', 'λειτουργώ']"
έκπληξη,"['έπρεπε', 'είναι', 'bk']"
έκπληξη,"['αχ', 'νύχτα', 'νύχτα']"
θλίψη,"['ανόητος', 'πάθο']"
θλίψη,"['υπολογιστής', 'σπασμένοι', 'έσπασα', 'φορητό', 'υπολογιστή', 'μου', ',', 'έπρεπε', 'χρησιμοποιήσω', 'τηλέφωνο', 'ακόμη', 'να', 'προκαλέσω', 'γαμώed', 'παραγγελία']"
θλίψη,"['ξύπνιος', 'άλλος', 'ξύπνιος', 'επιθυμώ', 'έζησα', 'ηπας', 'όλη', 'διασκέδαση', 'συμβαίνει', 'im', 'κοιμάται']"
θλίψη,"['σ', '&', '#', '39αγαπώ', 'κουρασμένο']"
θλίψη,"['πρωινός', 'συγγνώμη', 'τη', 'μετάβαση', 'το', 'βράδυ', 'κακά', 'νέος', 'αισθάνθηκε', 'χάλι', 'σήμερα', 'μια', 'νέος', 'μέρα']"
θλίψη,"['θα', 'θέλω', 'γονείς', 'βάζω', 'μια', 'κινεζικός', 'σχολή', 'είμαι', 'νεότερο', '.', 'θα', 'πολύ', 'εύκολος', 'μένα', 'να', 'βρω', 'δουλειά']"
θλίψη,"['βρίσκομαι', 'δωμάτιό', 'με', 'προκαλεί', 'λυπημένο']"
θλίψη,"['fck', 'ξεχάσω', 'για', 'δίωξη', 'πέμπτη', 'μου', 'αυτό', 'χάλι']"
θλίψη,"['ένας', 'λαός', 'λάθος', 'κόσμος', 'κατηγορώ', 'τους', 'ανθρώπου', 'είναι', 'ο', 'σπουδαίος', 'κόσμος', 'ζούμε', 'σκατά']"
έκπληξη,"['αυτοί', 'κοιμούνται', 'ζω', 'ανατολικός', 'ακτή']"
θλίψη,"['μου', 'αρέσω']"
θλίψη,"['συγγνώμη', 'τη', 'γάτα']"
θλίψη,"['χαμογελώντας', 'σεφ', 'σιδήρο']"
θλίψη,"['έκδοση', 'είναι', 'χάλι']"
θλίψη,"['μια', 'κακή', 'μέρα']"
έκπληξη,"['εγώ', 'τιτίβισμα', 'αυτή', 'μεγάλη', 'θλίψη', 'σήμερα']"
έκπληξη,"['πραγματικά', 'υπνηλία', 'βαρεθώ', 'είναι', 'η', 'σωστός', 'λέξη', 'δεν', 'πολύ', 'δουλειά']"
θλίψη,"['πηγαίνω', 'κατάστημα', 'ψάξω', 'για', 'το', 'αλλά']"
θλίψη,"['λείπω', 'γάμος']"
θλίψη,"['αισθάνομαι', 'ίδιος', 'τρόπο', 'μέρα']"
θλίψη,"['αλήθεια', 'ύπνος', 'η', 'μέρα', 'έχω', 'κοιμηθώ', 'να', 'σηκωθώ', 'και', 'να', 'πάω', 'ψώνιος', 'τη', 'μαμά']"
θλίψη,"['αληθινά', 'λείπω', 'νονός', 'τώρα', 'αγαπώ', 'wayne']"
θλίψη,"['λοιπόν', 'πονοκέφαλο', 'και', 'χάλι']"
θλίψη,"['μωρό', 'lakers', 'λείπω', 'παιχνίδι', 'έχω', 'δουλέψω', 'πρέπει', 'με', 'κρατήσω', 'ταχυδρομημένος', 'παρακαλώ']"
θλίψη,"['άνετο', 'φαγητό', 'ημέρα', 'mee', 'και', 'γεύση', 'καλό']"
θλίψη,"['λείπω', 'μωρό']"
θλίψη,"['κακό', 'δεν', 'μπορώ', 'κοιμηθώ']"
θλίψη,"['tom']"
θλίψη,"['σήμερα', 'λέμε', 'αντίο', 'δεύτερο', 'καλό', 'φίλο', 'μια', 'εβδομάδα', 'dmp', 'τουλάχιστον', 'ήλιος', 'shinning', 'im', 'σίγουρας', 'εργάζομαι', 'το']"
οργή,"['transtelecom']"
έκπληξη,"['we', 'αυτό', 'έπρεπε', 'κάνω', 'από']"
θλίψη,"['φορά', 'πράγμαα', 'λέτε', 'βλάπτω', 'που', 'αγαπώ', 'ακούσιος', 'μπορείτε', 'ποτέ', 'πάρω', 'ή', 'να', 'τα', 'διορθώσω']"
θλίψη,"['είναι', 'χάλι']"
θλίψη,"['το', 'δεν', 'νιώθει', 'δουλεύει']"
θλίψη,"['ημέρα', 'λείπω', 'μπορώ', 'περάσω', 'γρήγορο']"
θλίψη,"['εργάζω', 'σπίτι', 'σήμερα', 'πλάτη', 'με', 'σκοτώνω', 'γιατρό', 'στη', 'συνέχεια', 'το', 'physio', 'αργότερα', 'σήμερα']"
θλίψη,"['λείπω', 'βαθιά']"
θλίψη,"['sniff', 'πάρτε', 'φροντίδα', 'ας', 'ελπίσω', 'να', 'κουβεντιάσω', 'σύντομα', 'στος', 'χρόνο', 'ill', 'σας', 'λείπω']"
θλίψη,"['την', 'θέλω', 'φύγω']"
οργή,"['εργασία', 'fridaaaayyyyy']"
θλίψη,"['thats', 'λυπημένος', 'με', 'αποθαρρύνω', '4rom', 'εάν', 'shits']"
έκπληξη,"['πήρε', 'σπίτι', 'τη', 'δουλειά', '945', 'τελείωσε', 'τελείως', 'καθαρισμός', 'πρέπει', 'φάω', 'δείπνος', 'dont', 'ξέρω', 'θέλω', 'oh', 'δεν', 'να', 'τρώω']"
θλίψη,"['θέλω', 'είμαι']"
θλίψη,"['λείπω', 'μικρός', 'batty', 'μόλις', '3', 'μηνά', 'άρρωστος', 'πάντα', 'διασκεδαστικό', 'γεμάτο', 'ζωή', 'lt3', 'και', 'τέλος']"
θλίψη,"['πρωί', 'πάλι', 'μισώ', 'πρωινά', 'επιθετικά']"
θλίψη,"['κρεβάτι', 'κρεβάτι', 'κρεβάτι', 'απαντάτε', 'κείμενο', 'σκέφτηκο', 'την', 'μέρα', 'στέλνω', 'αλλά', 'δεν', 'άκουσας', 'sad', 'ημέρα']"
θλίψη,"['δεν', 'υπήρχαν', 'οι', 'επιθεωρήσει']"
θλίψη,"['wow', 'does', 'ακούγομαι', 'youre', 'παίζω', 'νιώθω', 'άσχημο', 'haha']"
έκπληξη,"['εξαιρετικά', 'βαθύ']"
θλίψη,"['λυπάμαι', 'τις', 'κακός', 'εμπειρία', 'οδήγηση']"
θλίψη,"['ήδη', 'χάσω']"
έκπληξη,"['ρευστοποίηση', 'τελή', ',', 'δεν', 'ολοκληρώνω', 'πώληση', 'είναι', 'χάλι']"
θλίψη,"['εκσπλαχνισμένο', 'μπάνιο', 'εξακολουθώ', 'μην', 'ελεύθερος', 'πρώιμο', 'έργο', 'πρόκειται', 'συμβεί', 'χρειαζόμαστε', 'το', 'loo']"
έκπληξη,"['επίσης', 'θαυμάζω', 'θα', 'το', 'δείξω']"
θλίψη,"['ευχαριστώ', 'λοξοτομείτε', 'περιμένω', 'btw', 'crash', 'άρρωσ']"
θλίψη,"['ο', 'υπολογιστής', 'εργασία', 'laptop', 'σπίτι', 'γαμώed']"
θλίψη,"['καταθλιπτικός', 'im', 'κολλήσω', 'όλη', 'ημέρα']"
θλίψη,"['μισώ', 'αρρωστήσω', 'μου', 'λείπω']"
θλίψη,"['ξύπνησα', 'θέλω', 'μείνω', 'κρεβάτι']"
θλίψη,"['ανεπιθύμηα', 'φυτά', 'τομάτα', 'πέθαναν']"
θλίψη,"['iht', 'είναι', 'νωρίτερα', 'περιμένω', 'long']"
έκπληξη,"['μπορώ', 'χρησιμοποιήσω', 'βατόμουρο', 'σήμερα', 'είναι', 'χάλι']"
θλίψη,"['με', 'μισείς']"
θλίψη,"['twitpic', 'com663vr', 'θέλησε', 'επισκεφτώ', 'ζώα', ',', 'είμαι', 'αργά']"
θλίψη,"['το', 'χάσω']"
θλίψη,"['έτσι', ',', 'εξαντλημένος', 'ύπνος', 'μπορώ', 'αρέσω', 'τις', 'νύχτα']"
θλίψη,"['θα', 'χάσω', 'τις', 'ζωντανός', 'δράσει', 'κομήτη', 'θα', 'πάω', 'να', 'φροντίζω', 'ξαδέλφιο', 'και', 'έχω', 'πρόσβαση', 'στο', 'ίντερνετ']"
έκπληξη,"['λοξοτομώ', 'ποτό']"
έκπληξη,"['compton', 'wii', 'δεν', 'να', 'το', 'έχω']"
θλίψη,"['λυπάμαι', 'το', 'ακούω']"
θλίψη,"['απλά', 'ανακάλυψα', 'δεν', 'μπορώ', 'πίνω', 'αυτό', 'μπαρ', 'λείπω', 'e1', 'palominos', 'χαμόγελος', 'θλιβερό', 'πρόσωπο']"
οργή,"['συσκευασία', 'μου', 'αρέσω']"
θλίψη,"['τελείωσε', 'ολόκληρος', 'κουτί', 'παγωτού']"
θλίψη,"['δεν', 'wimp']"
θλίψη,"['μπορώ', 'σας', 'προσθέσω', 'myspace', 'ζητώ', 'επώνυμο', 'email']"
θλίψη,"['θέλω', 'επιστρέψω', 'να', 'δουλέψω', 'ύποπτος', 'χρόνος']"
θλίψη,"['bit', 'ly3w9w1', 'πηγαίνω', 'orlando', 'im', 'cry']"
έκπληξη,"['soooooooo', 'μου', 'λείπω', 'η', 'ηλικία', 'much']"
έκπληξη,"['είδε', 'αλεπού', 'πήγαινος', 'αυτοκινητόδρομο', 'ελπίζω', 'πηγαίνω', 'σπίτι']"
έκπληξη,"['ανακάμψή', 'στις', 'ηνωμένες', 'πολιτεία', 'πήρε', 'ταλέντο', 'βρετανία', 'φαίνεται', 'ταλαντούχο', 'την', 'Αμερική']"
θλίψη,"['john', 'εγώ', 'έχω', 'σύγκρουση', 'ημερολόγιο', 'δυστυχώς', 'μπορώ', 'παρακολουθήσω']"
θλίψη,"['λείπω', 'φίλος']"
θλίψη,"['είδο', 'αυτό', 'πραγματικά', 'λυπηρό', 'εμπορικό']"
θλίψη,"['χρησιμοποιώντας', 'σε', 'μικρός', 'οθόνη', 'δεν', 'πραγματικά', 'διασκεδαστικό']"
θλίψη,"['μισώ', 'κοιμάται', 'του']"
θλίψη,"['άρεσε', 'johnny', 'τώρα', 'με', 'μισώ', 'βλέποντα', 'leno', 'πηγαίνω']"
θλίψη,"['και', 'ο', 'ήθελε', 'κάνω', 'νέος', 'κομμάτι', 'ο', 'δάσκαλό', 'συμφώνησε', 'παλιά', 'γκρινιάρης', 'not', 'μας', 'χαρά', 'χαχας']"
θλίψη,"['έκανο', 'την', 'ημέρα', 'χθες', 'συνάντησε', 'οδοντίατρο', 'αισθάνομαι', 'καλύτερα', 'έμοιακας', 'βραχώδης', 'αν']"
έκπληξη,"['το', 'διαδίκτυο', 'επάνω', 'διακομιστής', 'κάτω', 'Φοίνιξ', 'ήταν', 'επάνω']"
θλίψη,"['πήρος', 'επανάκληση', 'το', 'παιχνίδι', 'φώναξας', 'καλά', 'υποθέτω', 'πλάτη', 'να', 'techie']"
θλίψη,"['θέλω', 'πάω', 'σου', 'δεν', 'μπορώ', 'να', 'κοιμηθάω']"
θλίψη,"['λυπάμαι']"
θλίψη,"['asleep', 'me', 'αλλά', 'ξέρω', 'αισθάνομαι', 'lol', 'me', 'hell', 'απόλυτα', 'ενθουσιασμένο']"
θλίψη,"['έτσι', 'σκέφτομαι', 'κείμενό', 'μηνύμαα', 'quotsubject', 'εγώ', 'αποτύχω']"
θλίψη,"['πόνος', 'κοιλιά']"
έκπληξη,"['μαθηματικά', 'κουίζ', 'meow', 'αλλεργία', 'meow', 'αλλεργία']"
θλίψη,"['λυπάμαι', 'επιθυμώ', 'υπήρχε', 'που', 'μπορώ', 'κάνω']"
θλίψη,"['εργάζομαι', 'τελείως', 'έντεκο', 'αυτό', 'ακόμη', 'να', 'επιτρέψω', 'αιτία', 'πραγματικά', 'θέλω', 'να', 'χαλάω']"
θλίψη,"['δεν', 'chasetons', 'παρακαλώ', 'πεθάνω', 'καρδιά', 'θα', 'πραγματικά', 'λυπηρό']"
έκπληξη,"['peter', 'ευχαριστώ', 'την', 'ακολουθήστε', 'πολλός', 'Σύλλογοι', 'πάστορες', 'ντροπή', 'δεν', 'οι', 'πάσχοντε', 'bris', 'twitter', 'πίσω']"
έκπληξη,"['ξύπνησα', 'ενός', 'κακός', 'ονείρο']"
θλίψη,"['Λοξοτομώ', 'ύπνο', 'είναι', 'βρώμικος', 'απογοητευτικό']"
θλίψη,"['μία', 'εκείνες', 'ημέρα', ',', 'η', 'μοναξί', 'σέρνω', 'σας', ',', 'χαστούκι', 'πρόσωπο']"
θλίψη,"['kelly']"
θλίψη,"['αισθάνομαι', 'καλά']"
θλίψη,"['ο', 'χρόνος', 'να', 'κλείσω', 'gonna', 'μια', 'μακρά', 'μέρα', 'πείτε', 'αντίο', 'αυτοκίνητό', 'για', 'καλό']"
θλίψη,"['λείπω', 'ακούγω', 'πολίτη', 'αντιμετωπίσω', 'βγαίνω']"
θλίψη,"['αστείο', 'είναι', 'λυπημένη', 'τελευταίος', 'μέρα']"
θλίψη,"['jenny', 'αποκοιμήθηκε', 'δεν', 'ήρθε']"
θλίψη,"['θέλω', 'διδάξατε', 'με', 'νύχτα', 'ταινία']"
