Text,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Emotion
πονώ,0,0,0,0,0,1,0,0,['sadness']
ασθενής,0,0,0,1,0,1,0,0,"['fear', 'sadness']"
αεροδρόμιο,0,1,0,0,0,0,0,0,['anticipation']
αέρα,0,0,1,0,0,0,0,0,['disgust']
συγγενής,0,0,0,0,0,0,0,1,['trust']
τρομάζω,0,0,0,1,0,0,1,0,"['fear', 'surprise']"
ανησυχητικός,0,0,0,1,0,0,1,0,"['fear', 'surprise']"
NO TRANSLATION,0,0,0,0,0,0,0,1,['trust']
αλκοολισμός,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
ετοιμότητα,0,1,0,1,0,0,1,0,"['anticipation', 'fear', 'surprise']"
ειδοποιήσεις,0,1,0,1,0,0,1,0,"['anticipation', 'fear', 'surprise']"
εξωγήινο,0,0,1,1,0,0,0,0,"['disgust', 'fear']"
απαλλοτριώ,1,0,1,0,0,0,0,0,"['anger', 'disgust']"
αποξενωμένος,0,0,0,0,0,1,0,0,['sadness']
αποξένωση,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
ζωντανός,0,1,0,0,1,0,0,1,"['anticipation', 'joy', 'trust']"
ισχυρισμός,1,0,0,0,0,0,0,0,['anger']
υποταγή,0,0,0,0,0,0,0,1,['trust']
ΣΥΜΜΑΧΙΑ,0,0,0,0,0,0,0,1,['trust']
σύμμαχος,0,0,0,0,0,0,0,1,['trust']
δελεάζω,0,1,0,0,1,0,1,0,"['anticipation', 'joy', 'surprise']"
σύμμαχος,0,0,0,0,0,0,0,1,['trust']
aloha,0,1,0,0,1,0,0,0,"['anticipation', 'joy']"
φιλονικία,1,0,0,0,0,0,0,0,['anger']
καταπλήσσω,0,0,0,0,0,0,1,0,['surprise']
καταπληκτικά,0,0,0,0,1,0,1,0,"['joy', 'surprise']"
πρεσβευτής,0,0,0,0,0,0,0,1,['trust']
φιλοδοξία,0,1,0,0,1,0,0,1,"['anticipation', 'joy', 'trust']"
ασθενοφόρο,0,0,0,1,0,0,0,1,"['fear', 'trust']"
ενέδρα,1,0,0,1,0,0,1,0,"['anger', 'fear', 'surprise']"
Αμήν,0,0,0,0,1,0,0,1,"['joy', 'trust']"
φιλικός,0,0,0,0,1,0,0,0,['joy']
αμμωνία,0,0,1,0,0,0,0,0,['disgust']
αμνηστία,0,0,0,0,1,0,0,0,['joy']
χρεολυσία,0,0,0,0,0,0,0,1,['trust']
NO TRANSLATION,0,1,0,0,1,0,0,1,"['anticipation', 'joy', 'trust']"
αμφεταμίνες,0,0,1,0,0,0,0,0,['disgust']
διασκεδάζω,0,0,0,0,1,0,0,0,['joy']
διασκέδασε,0,0,0,0,1,0,0,0,['joy']
διασκέδαση,0,0,0,0,1,0,0,0,['joy']
διασκεδαστικός,0,0,0,0,1,0,0,0,['joy']
ανακόνδας,0,0,1,1,0,0,0,0,"['disgust', 'fear']"
αναλυτής,0,1,0,0,0,0,0,1,"['anticipation', 'trust']"
αναρχισμός,1,0,0,1,0,0,0,0,"['anger', 'fear']"
αναρχικός,1,0,0,1,0,0,0,0,"['anger', 'fear']"
αναρχία,1,0,0,1,0,0,0,0,"['anger', 'fear']"
ανάθεμα,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
προγονικός,0,0,0,0,0,0,0,1,['trust']
αγκυροβόλιο,0,0,0,0,0,1,0,0,['sadness']
άγγελος,0,1,0,0,1,0,1,1,"['anticipation', 'joy', 'surprise', 'trust']"
αγγελικός,0,0,0,0,1,0,0,1,"['joy', 'trust']"
θυμός,1,0,0,0,0,0,0,0,['anger']
κυνάγχη,0,0,0,1,0,0,0,0,['fear']
αγκιστεία,0,1,0,0,0,0,0,0,['anticipation']
θυμωμένος,1,0,1,0,0,0,0,0,"['anger', 'disgust']"
αγωνία,1,0,0,1,0,1,0,0,"['anger', 'fear', 'sadness']"
κινούμενα,0,0,0,0,1,0,0,0,['joy']
έχθρα,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
σκοπός,1,0,0,0,0,0,0,0,['anger']
εκμηδενίζω,1,0,0,1,0,0,0,0,"['anger', 'fear']"
εξολοθρεύεται,1,0,0,1,0,1,0,0,"['anger', 'fear', 'sadness']"
εκμηδένιση,1,0,0,1,0,1,0,0,"['anger', 'fear', 'sadness']"
ανακοίνωση,0,1,0,0,0,0,0,0,['anticipation']
ενοχλώ,1,0,1,0,0,0,0,0,"['anger', 'disgust']"
ενόχληση,1,0,1,0,0,0,0,0,"['anger', 'disgust']"
ενοχλητικός,1,0,0,0,0,0,0,0,['anger']
ακύρωση,0,0,0,0,0,1,0,0,['sadness']
ανωμαλία,0,0,0,1,0,0,1,0,"['fear', 'surprise']"
υπόλογος,0,0,0,0,0,0,0,1,['trust']
ανταγωνισμός,1,0,0,0,0,0,0,0,['anger']
ανταγωνιστής,1,0,0,0,0,0,0,0,['anger']
ανταγωνιστικός,1,0,1,0,0,0,0,0,"['anger', 'disgust']"
άνθρακας,0,0,1,1,0,1,0,0,"['disgust', 'fear', 'sadness']"
αντίχριστος,1,0,1,1,0,0,0,0,"['anger', 'disgust', 'fear']"
προσμονή,0,1,0,0,0,0,0,0,['anticipation']
προνοητικός,0,1,0,0,0,0,0,0,['anticipation']
αντίδοτο,0,1,0,0,0,0,0,1,"['anticipation', 'trust']"
αντιμυκητιασικά,0,0,0,0,0,0,0,1,['trust']
αντιπάθεια,1,0,1,0,0,0,0,0,"['anger', 'disgust']"
αντισηπτικό,0,0,0,0,0,0,0,1,['trust']
αντικοινωνικός,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
αντίθεση,1,0,0,0,0,0,0,0,['anger']
ανησυχία,1,1,0,1,0,1,0,0,"['anger', 'anticipation', 'fear', 'sadness']"
ανήσυχος,0,1,0,1,0,0,0,0,"['anticipation', 'fear']"
απάχης,0,0,0,1,0,0,0,0,['fear']
απαθής,0,0,0,0,0,1,0,0,['sadness']
απάθεια,0,0,0,0,0,1,0,0,['sadness']
ψείρα των φυτών,0,0,1,0,0,0,0,0,['disgust']
απολογητικός,0,0,0,0,0,0,0,1,['trust']
Απολογούμαι,0,0,0,0,0,1,0,1,"['sadness', 'trust']"
απόστολος,0,0,0,0,0,0,0,1,['trust']
αποστολικός,0,0,0,0,0,0,0,1,['trust']
τρομακτικός,0,0,1,1,0,0,0,0,"['disgust', 'fear']"
εμφάνιση,0,0,0,1,0,0,1,0,"['fear', 'surprise']"
έφεση,0,1,0,0,0,0,0,0,['anticipation']
σκωληκοειδίτιδα,0,0,0,1,0,1,0,0,"['fear', 'sadness']"
χειροκροτήματα,0,0,0,0,1,0,1,1,"['joy', 'surprise', 'trust']"
αιτών,0,1,0,0,0,0,0,0,['anticipation']
εκτίμηση,0,0,0,0,1,0,0,1,"['joy', 'trust']"
αντιλαμβάνομαι,0,0,0,1,0,0,0,0,['fear']
σύλληψη,0,0,0,1,0,0,0,0,['fear']
φοβισμένος,0,1,0,1,0,0,0,0,"['anticipation', 'fear']"
μαθητευόμενος,0,0,0,0,0,0,0,1,['trust']
πλησιάζοντας,0,1,0,0,0,0,0,0,['anticipation']
επιδοκιμασία,0,0,0,0,0,0,0,1,['trust']
εγκρίνω,0,0,0,0,1,0,0,1,"['joy', 'trust']"
διαιτητής,0,0,0,0,0,0,0,1,['trust']
διαιτησία,0,1,0,0,0,0,0,0,['anticipation']
διαιτητής,0,0,0,0,0,0,0,1,['trust']
αρχαιολογία,0,1,0,0,0,0,0,0,['anticipation']
αρχιτεκτονική,0,0,0,0,0,0,0,1,['trust']
διακαής,0,1,0,0,1,0,0,0,"['anticipation', 'joy']"
λογομαχώ,1,0,0,0,0,0,0,0,['anger']
διαφωνία,1,0,0,0,0,0,0,0,['anger']
συζήτηση,1,0,0,0,0,0,0,0,['anger']
επιχειρήματα,1,0,0,0,0,0,0,0,['anger']
ξερός,0,0,0,0,0,1,0,0,['sadness']
εξοπλισμός,1,0,0,1,0,0,0,0,"['anger', 'fear']"
εξοπλισμού,0,0,0,1,0,0,0,0,['fear']
ένοπλος,1,0,0,1,0,0,0,0,"['anger', 'fear']"
πανοπλία,0,0,0,1,0,0,0,1,"['fear', 'trust']"
θωρακισμένος,0,0,0,1,0,0,0,0,['fear']
οπλοστάσιο,0,0,0,0,0,0,0,1,['trust']
εξεγείρω,0,1,0,0,0,0,0,0,['anticipation']
κλήση,1,0,0,1,0,1,0,0,"['anger', 'fear', 'sadness']"
άφιξη,0,1,0,0,0,0,0,0,['anticipation']
φθάνω,0,1,0,0,0,0,0,0,['anticipation']
αλαζονικός,1,0,1,0,0,0,0,0,"['anger', 'disgust']"
αρσενικό,0,0,1,1,0,1,0,0,"['disgust', 'fear', 'sadness']"
εμπρησμός,1,0,0,1,0,0,0,0,"['anger', 'fear']"
τέχνη,0,1,0,0,1,1,1,0,"['anticipation', 'joy', 'sadness', 'surprise']"
πυροβολικό,0,0,0,1,0,0,0,0,['fear']
ντροπιασμένος,0,0,1,0,0,1,0,0,"['disgust', 'sadness']"
τέφρα,0,0,0,0,0,1,0,0,['sadness']
ασπίδα,0,0,0,1,0,0,0,0,['fear']
φιλοδοξία,0,1,0,0,1,0,1,1,"['anticipation', 'joy', 'surprise', 'trust']"
φιλοδοξώ,0,1,0,0,1,0,0,0,"['anticipation', 'joy']"
επιδιώκοντας,0,1,0,0,1,0,0,1,"['anticipation', 'joy', 'trust']"
προσβάλλω,1,0,0,1,0,0,1,0,"['anger', 'fear', 'surprise']"
επιτιθεμένος,1,0,0,1,0,1,0,0,"['anger', 'fear', 'sadness']"
δολοφόνος,1,0,0,1,0,1,0,0,"['anger', 'fear', 'sadness']"
δολοφονώ,1,0,0,1,0,0,0,0,"['anger', 'fear']"
δολοφονία,1,0,0,1,0,1,0,0,"['anger', 'fear', 'sadness']"
προσβολή,1,0,0,1,0,0,0,0,"['anger', 'fear']"
συνέλευση,0,0,0,0,0,0,0,1,['trust']
ισχυριζόμενος,0,0,0,0,0,0,0,1,['trust']
εκτίμηση,0,0,0,0,0,0,1,1,"['surprise', 'trust']"
εκτιμητής,0,0,0,0,0,0,0,1,['trust']
κώλος,1,0,1,0,0,0,0,0,"['anger', 'disgust']"
εντολοδόχος,0,0,0,0,0,0,0,1,['trust']
βοηθώ,0,0,0,0,0,0,0,1,['trust']
σύντροφος,0,0,0,0,0,0,0,1,['trust']
σχέση,0,0,0,0,0,0,0,1,['trust']
ασφάλεια,0,0,0,0,0,0,0,1,['trust']
επιβεβαιώνω,0,0,0,0,0,0,0,1,['trust']
βέβαιος,0,0,0,0,0,0,0,1,['trust']
βεβαίως,0,0,0,0,0,0,0,1,['trust']
NO TRANSLATION,0,0,0,0,0,0,1,0,['surprise']
κατάπληξη,0,0,0,0,1,0,1,0,"['joy', 'surprise']"
παραστρατημένος,0,0,0,1,0,0,0,0,['fear']
αστρολόγος,0,1,0,0,0,0,0,0,['anticipation']
αστρονόμος,0,1,0,0,0,0,0,0,['anticipation']
άσυλο,0,0,0,1,0,0,0,0,['fear']
ασυμμετρία,0,0,1,0,0,0,0,0,['disgust']
αθηροσκλήρωση,0,0,0,1,0,1,0,0,"['fear', 'sadness']"
εξιλεώ,0,1,0,0,1,0,0,1,"['anticipation', 'joy', 'trust']"
φρικτός,1,0,1,0,0,0,0,0,"['anger', 'disgust']"
θηριωδία,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
ατροφία,0,0,1,1,0,1,0,0,"['disgust', 'fear', 'sadness']"
επίθεση,1,0,0,1,0,0,0,0,"['anger', 'fear']"
επίθεση,1,0,1,1,0,1,1,0,"['anger', 'disgust', 'fear', 'sadness', 'surprise']"
εφικτός,0,1,0,0,0,0,0,0,['anticipation']
απόπειρα,0,1,0,0,0,0,0,0,['anticipation']
παρουσία,0,1,0,0,0,0,0,0,['anticipation']
παραστάτης,0,0,0,0,0,0,0,1,['trust']
προσεκτικός,0,0,0,0,0,0,0,1,['trust']
απόσβεση,0,0,0,0,0,1,0,0,['sadness']
πιστοποιώ,0,0,0,0,0,0,0,1,['trust']
επιβεβαίωση,0,0,0,0,0,0,0,1,['trust']
δικηγόρος,1,0,0,1,0,0,0,1,"['anger', 'fear', 'trust']"
δημοπρασία,0,1,0,0,0,0,0,0,['anticipation']
ακροατήριο,0,1,0,0,0,0,0,0,['anticipation']
ελεγκτής,0,0,0,1,0,0,0,1,"['fear', 'trust']"
θεία,0,0,0,0,0,0,0,1,['trust']
ευοίωνος,0,1,0,0,1,0,0,0,"['anticipation', 'joy']"
λιτός,0,0,0,1,0,1,0,0,"['fear', 'sadness']"
αυθεντικός,0,0,0,0,1,0,0,1,"['joy', 'trust']"
πιστοποιώ την αυθεντικότητα,0,0,0,0,0,0,0,1,['trust']
αυθεντικοποίηση,0,0,0,0,0,0,0,1,['trust']
αυθεντικότητα,0,0,0,0,0,0,0,1,['trust']
συγγραφέας,0,0,0,0,0,0,0,1,['trust']
επίσημος,0,0,0,0,0,0,0,1,['trust']
εξουσία,0,0,0,0,0,0,0,1,['trust']
εξουσιοδότηση,0,0,0,0,0,0,0,1,['trust']
εξουσιοδοτώ,0,0,0,0,0,0,0,1,['trust']
αυτόματο,0,0,0,0,0,0,0,1,['trust']
αυτοψία,0,0,1,1,0,1,0,0,"['disgust', 'fear', 'sadness']"
χιονοστιβάδα,0,0,0,1,0,1,1,0,"['fear', 'sadness', 'surprise']"
φιλαργυρία,1,0,1,0,0,0,0,0,"['anger', 'disgust']"
εκδικητής,1,0,0,0,0,0,0,0,['anger']
ακούσιος,1,0,1,1,0,0,0,0,"['anger', 'disgust', 'fear']"
αποστροφή,1,0,1,1,0,0,0,0,"['anger', 'disgust', 'fear']"
αποφύγει,0,0,0,1,0,0,0,0,['fear']
αποφυγή,0,0,0,1,0,0,0,0,['fear']
αποφεύγοντας,0,0,0,1,0,0,0,0,['fear']
αναμένω,0,1,0,0,0,0,0,0,['anticipation']
βραβείο,0,1,0,0,1,0,1,1,"['anticipation', 'joy', 'surprise', 'trust']"
απαίσιος,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
αδεξιότητα,0,0,1,0,0,0,0,0,['disgust']
αξίωμα,0,0,0,0,0,0,0,1,['trust']
αξιωματικός,0,0,0,0,0,0,0,1,['trust']
βαβουίνος,0,0,1,0,0,0,0,0,['disgust']
μωρό,0,0,0,0,1,0,0,0,['joy']
νταντά,0,0,0,0,0,0,0,1,['trust']
σπονδυλική στήλη,1,0,0,0,0,0,0,1,"['anger', 'trust']"
υποστηρικτής,0,0,0,0,0,0,0,1,['trust']
προς τα πίσω,0,0,1,0,0,0,0,0,['disgust']
ύδατα πίσω από διάφραγμα,0,0,0,0,0,1,0,0,['sadness']
βακτήρια,0,0,1,1,0,1,0,0,"['disgust', 'fear', 'sadness']"
NO TRANSLATION,0,0,1,1,0,0,0,0,"['disgust', 'fear']"
κακό,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
σήμα,0,0,0,0,0,0,0,1,['trust']
ασβός,1,0,0,0,0,0,0,0,['anger']
κακώς,0,0,0,0,0,1,0,0,['sadness']
κακία,1,0,1,1,0,0,0,0,"['anger', 'disgust', 'fear']"
δικαστικός κλητήρας,0,0,0,1,0,0,0,1,"['fear', 'trust']"
δόλωμα,0,0,0,1,0,0,0,1,"['fear', 'trust']"
μπάλλα,0,0,0,1,0,0,0,0,['fear']
ψηφοφορία,0,1,0,0,0,0,0,1,"['anticipation', 'trust']"
βάλσαμο,0,1,0,0,1,0,0,0,"['anticipation', 'joy']"
όλεθρος,1,0,1,1,0,0,0,0,"['anger', 'disgust', 'fear']"
πάταγος,1,0,1,1,0,1,1,0,"['anger', 'disgust', 'fear', 'sadness', 'surprise']"
banger,1,1,0,1,0,0,1,0,"['anger', 'anticipation', 'fear', 'surprise']"
εξορίζω,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
εκτοπισμένοι,1,0,0,1,0,1,0,0,"['anger', 'fear', 'sadness']"
εξορία,1,0,1,0,0,1,0,0,"['anger', 'disgust', 'sadness']"
τράπεζα,0,0,0,0,0,0,0,1,['trust']
τραπεζίτης,0,0,0,0,0,0,0,1,['trust']
χρεωκοπημένος,0,0,0,1,0,1,0,0,"['fear', 'sadness']"
πτώχευση,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
συμπόσιο,0,1,0,0,1,0,0,0,"['anticipation', 'joy']"
banshee,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
βαπτιστικός,0,0,0,0,1,0,0,0,['joy']
barb,1,0,0,0,0,0,0,0,['anger']
βάρβαρος,0,0,0,1,0,0,0,0,['fear']
βαρβαρικός,1,0,1,1,0,0,0,0,"['anger', 'disgust', 'fear']"
barf,0,0,1,0,0,0,0,0,['disgust']
παζάρι,0,0,0,0,0,0,0,1,['trust']
φλοιός,1,0,0,0,0,0,0,0,['anger']
άγονος,0,0,0,0,0,1,0,0,['sadness']
οδόφραγμα,0,0,0,1,0,0,0,0,['fear']
εμπόδιο,1,0,0,0,0,0,0,0,['anger']
χειράμαξα,0,0,1,0,0,0,0,0,['disgust']
μικρή αρκούδα,0,0,0,0,0,0,0,1,['trust']
ανταλλαγή εμπορεμάτων,0,0,0,0,0,0,0,1,['trust']
βάση,0,0,0,0,0,0,0,1,['trust']
μπάσκετ,0,1,0,0,1,0,0,0,"['anticipation', 'joy']"
μπάσταρδος,0,0,1,0,0,1,0,0,"['disgust', 'sadness']"
προπύργιο,1,0,0,0,0,0,0,0,['anger']
τάγμα,1,0,0,0,0,0,0,0,['anger']
ροπαλοφόρος,1,0,0,1,0,0,0,0,"['anger', 'fear']"
κακοποιημένα,0,0,0,1,0,1,0,0,"['fear', 'sadness']"
μπαταρία,1,0,0,0,0,0,0,0,['anger']
μάχη,1,0,0,0,0,0,0,0,['anger']
μάχεται,1,0,0,1,0,1,0,0,"['anger', 'fear', 'sadness']"
πεδίο μάχης,0,0,0,1,0,0,0,0,['fear']
ξιφολόγχη,1,0,0,1,0,0,0,0,"['anger', 'fear']"
παραλία,0,0,0,0,1,0,0,0,['joy']
δέσμη,0,0,0,0,1,0,0,0,['joy']
ακτινοβολία,0,1,0,0,1,0,0,0,"['anticipation', 'joy']"
αρκούδα,1,0,0,1,0,0,0,0,"['anger', 'fear']"
αρκούδες,1,0,0,1,0,0,0,0,"['anger', 'fear']"
θηρίο,1,0,0,1,0,0,0,0,"['anger', 'fear']"
κτηνώδης,0,0,1,1,0,0,0,0,"['disgust', 'fear']"
χτύπημα,1,0,0,1,0,1,0,0,"['anger', 'fear', 'sadness']"
καλλωπισμός,0,0,0,0,1,0,0,1,"['joy', 'trust']"
πανεμορφη,0,0,0,0,1,0,0,0,['joy']
καλλωπίζω,0,0,0,0,1,0,0,0,['joy']
ομορφιά,0,0,0,0,1,0,0,0,['joy']
υπόβαθρο,0,0,0,0,0,0,0,1,['trust']
μέλισσα,1,0,0,1,0,0,0,0,"['anger', 'fear']"
μπύρα,0,0,0,0,1,0,0,0,['joy']
φέρομαι φιλικά σε,0,0,0,0,1,0,0,1,"['joy', 'trust']"
ικετεύω,0,0,0,0,0,1,0,0,['sadness']
ζητιάνος,0,0,0,0,0,1,0,0,['sadness']
άρχισε,0,1,0,0,0,0,0,0,['anticipation']
μεγαθήριο,0,0,0,1,0,0,0,0,['fear']
πιστεύω,0,0,0,0,0,0,0,1,['trust']
πιστός,0,0,0,0,0,0,0,1,['trust']
πιστεύοντας,0,0,0,0,0,0,0,1,['trust']
υποτιμώ,1,0,1,1,0,1,0,0,"['anger', 'disgust', 'fear', 'sadness']"
εμπόλεμος,1,0,0,1,0,0,0,0,"['anger', 'fear']"
φυσερό,1,0,0,0,0,0,0,0,['anger']
ζώνη,1,0,0,1,0,0,0,0,"['anger', 'fear']"
ευεργέτης,0,0,0,0,0,0,0,1,['trust']
