sentiment,Content
sadness,Missing Everyone
sadness,My sisser is moving tomorrow and of makes me sad  actually I guess technically in a couple of hours since it's already Friday.
surprise,No churchill downs for me tomorrow
surprise,Bahh the police ended the party @ 5!!  Just when i was starting....
sadness, that is so sad
surprise, omg you've never seen 'the Ring' its a creppy ass movie
surprise,mannnn.....  got an iphone!!! im jealous....
sadness,is still sick  sigh
surprise,Josh just called me a big bucket of ugly  wish me luck for my audition tweets!
sadness,i feel really weird
surprise, I'm trying to self learn photoshop but it's not going so well!
sadness,my throat hurts  gonna go read and go to bed. text mee!
sadness,fjdskal im really frustrated.
sadness,Wondering how come mcdonalds take so long to deliver my food.
surprise," Ya, the weather has been super weird here. It looked like it was gonna rain today but of course it didn't, darnitt,"
sadness," ... much more injustice than we can imagine now. It will get worse before it gets better, I am afraid. No doubt here. Sorry"
sadness,Sooo.....I'm kind of sick n tired of the bs that guys dish out  !!!!!!!!
sadness," idk lol my head hurts. rly bad. &amp; so does my stomach... hmm... personally, i think its from all the #s ive had 2 deal wit"
surprise,FUCK wasting deodorant... i aint goin no where... i aint havin company  let me funk it to ya!
sadness,what a beautiful day - shame I've got to spend it in an office
sadness,Just finished watching the series return of the Chasers War on Everything - really quite crap compared to how it used to be
sadness,Wow just realized haven't checked Twitter since 9am when I saw my to-do list. Good news- got lot done. Bad news-don't know where day went
sadness,http://twitpic.com/664b7 - miss my bestfriend :'( now she left school
surprise,OUCH! my earphones just shocked me
sadness,Tummy hurts
sadness,farewelling an employee tonight...
sadness,"Morning all. The water heating's packed up, so i can't have a bath. I REALLY want a bath!"
sadness, Girls are confusing.
sadness,@ lyrically_Me   Why would you do that to me?!
sadness,Blackout in the city is never good
sadness, Chris and I are staying in Glasgow instead cause there is absolutely no accomodation in Edinburgh due to the marathon
sadness, Sad tweets are sad
sadness,Have decided I just can't stand  Alltop spam any longer.
sadness,i miss rich
sadness,Headache of the century coming- I can feel it  Fuck.
sadness,disappointed to know that I got the Silver Award. I want the GOLD award. I hate being second best.
sadness,home from ice cream tweet-up (my very first tweet-up!) No pics because my camera battery died last night and i forgot to charge it
sadness, Dun wanna travel all the way there for lunch now. But yeah i have been there. Nice place. Missing Shan-e-Punjab though...
sadness, rob got lucky that game he beat me 209-205
surprise,Bah I don't think  FB fan page will get to 7500
sadness,home from school had the shitest day today
sadness," lol.  When I went to buy my new laptop in Feb., I already knew, lol, but I looked anyway and walked away sadfaced. :/"
sadness,Sitting by myself. Everyone took the good seats.
sadness, Ahhhhh  Well at least I'm up to!
sadness, ME! oh wait wrong state
surprise,"It's fucking cold here north now! It was like 77 DF yesterday where I was, here it's 37,4"
sadness,Sorry was that mean
surprise,Dogs eyes seem bad. Just forked out on new washing machine so why not a vets bill to top it off eh?!?!
sadness," sorry, is only in spanish for the moment"
sadness,has had the flu pass unto me by andy...went shopping and got fresh chicken for chicken soup...but no d&amp;d this sat ...is a sad panda
sadness,not well
sadness, oh what the hell  way to tell me.
sadness, oh crap!!
sadness, i didnt get the msg!! :'( but i bought princess
surprise," lol ik they are, but i figure i've kept it for a year+ without needing virus software or to get it fixed  sigh"
sadness,"I'm so unhappy being here. I hate it. It's affecting everything. My relationships with people, my personality, my attitude..."
sadness,"There's Nothing To Do Right Now And I'm Tired But I Don't Want To Sleep. Cleaned Up Pretty Good, So Proud. At Least I'd Be A Good Janitor"
sadness, oh my... now im offended.  ha
sadness,The 3d version of Up sold out   regular version it is!
sadness, my love!!! We still havn't done lunch together like we said we would.. I miss you my friend
surprise,Where is my bestie when i need him 
sadness,now aches &amp; chills have joined the party. Why couldn't the cold just go away? It had to get worse?
sadness,bed. with stomach ache
sadness,lappy charger is completely dead... conserving what's left of the battery until i can afford to buy a new one
sadness,finally accepting the fact that all cute guys are taken
surprise,Summer Glau to appear in Dollhouse next year http://tinyurl.com/mnrezc... I still can't believe they won't renew TSCC
sadness,   too bad Vo got me sick I think  &amp; I don't even have meds to feel like you.
sadness,Honza takes his flight back to the Czech Republic in the morning  I'm really going to miss him.
surprise, cause they changed man....
sadness,Matty is le tired.
sadness, not really having a good night... missing my little girl...
sadness,Nite Tweeple.  Tomorrow will be day 25 at work.
sadness,Ahh man up and getting ready for work  I wanna sleep!!!
sadness,  I was just thinking the same thing! I love our morning chats! We totally need 2 live 2gether full time. Lol
sadness,Wish I was at sri panwa now
sadness,"wants to listen to musiq soulchild, but it is not on the iPod"
sadness,i miss seeing fireflies.....
sadness, hang in there- health should be priority #1 right now! i do hate seeing good people get mistreated so i'm genuinely sorry
sadness,Had a awesome time 2. Got2meet brandon rhyder! Unfortunatly i can't sleep n tomorrow.  back 2 the ole job.  got my game face on!
sadness, And I feel your pain.
surprise,"My Pandora is hitten hard, why can't real radio play great music like this"
sadness,2orw!!!!! Nooooooo I want to go back to Newcastle!!!!
sadness,"bout to watch notorious cause that's how i'm feelin now. wish i could eat something, but i can't.  surgery tomorrow. no food til saturday"
surprise,Where are all you Motivated/Determined/wannabe sexy successful young professionals!??! I might really have to join a BNI if there is no1!
sadness, you guys gonna tour with Short Stack again? I missed your last tour  Me friend went and said it was mad!
surprise, eeeeeeeeeeeeee i jealous sia i didnt get to seee
surprise,arrrgh. i'm bored. so bored. there's nothing to do except slouch at the computer all day long.
sadness,I'm going to miss Miss Suhana
sadness,Why are the sinks in hospital toilets so low? Now the crotch of my grey suit is spattered with water! Just in time for Physio
surprise," and  yea, just confirmed that this game indeed is already patched...  LOL guess you'll have to help me tomorrow ;)"
surprise,Gonna go watch Shorty Street &amp; then prison break marathon then bed maybe. Nobodies texting me!
sadness,I should go get a life. Sam just texted me 'Phuture tonight?'  http://sgBEAT.com/pic/81/
sadness,sad that will have to leave my beautiful apartment
surprise,"gonna dream about my prince charming tonight, n see if everything goes back to normal. I really hope so   &lt;3"
surprise,wow i have no friends on twitter
sadness, I've been trying not to think about that!
sadness,Waiting on the bus! I miss my car
sadness,"says I'm still dreaming about that Nikon D60..erRr!  *ate, kuya **PLEASE** lang* huhuh http://plurk.com/p/wxrx5"
sadness,It is kind of lonely when nobody will answer their phone.
sadness,Rest In Peace  ADaM 12 &amp; GLeNN EPPS.... Gone but never forgotten... what a week ...Loud in da air 4 ya
sadness,"is having the worst week, things really do happen in threes"
sadness, and im an idiot for missing their last show
surprise, Oh wow  ouch...
surprise, wat the! you were in riverside??
sadness, you left me first .. and left your bed here for me to look at
sadness,"Bike trail - 1, Miss J - 0, two front teeth - 1 1/2.. Hopefully! Vacations suck!"
sadness,Sadly I am bprohibiting myself from tweeting tonight. Sorry
sadness," Oh man, Did Yogg today. Worse than last week."
sadness, it is so unfair that all the good rock shows happen only in B'lore and Pune
surprise, why are you sad?!
sadness,cant sleep again! I couldnt sleep last night eather!  *Wabble Wabble*
sadness,"have to stay away from home, and since this part of india dnt hav gud wireless internet, im fucked"
sadness,Wookei why did you never accept my psn friend request
sadness, As do I  Leopold says hello.
sadness,because my dad has the tv to loud. Then i get creeped out cuz im from a dodgy neighbourhood and there was someone in my bush.
sadness,"cant talk very well, just remembering about something once said to me...  not a good thing fucking bully nasty pieces of work arrrrgrrrrrr"
sadness, you stop it
sadness,just got home.. downtown was dead.. plus im kinda under the weather and i gotta get up for work tomorrow
sadness,"Yesterday a friend of mine was thrown off his horse as a lorry drove past us, ignoring us signaling for him to slow down"
sadness,Ready to go into work now.  cannot be bothered.
sadness,"I hate working nights, cos I'm not really able to enjoy this gorgeous weather, as I will be asleep"
sadness,i really should stop relying on my family when they say their going to get me lunch
sadness,"Changed my hairstyle,but it isn't good as it supposed to be N don't wealth that much money..  hate that hairdresser~~"
surprise, I miss going to EK every summer &amp; christmas vaca  Take me there!
sadness, I know right
sadness, yup .. sad eh .. Betty man .. it should have been betty
surprise,they shot him  he was still alive too...
sadness, POL! Is this song from a new album? I am really missing out on UdD!
sadness,is tired of summer already
sadness,feels really sick.
surprise, just took the Terminator trilogy :-D but what I need is actually TV series and I still can't find anything tempting
sadness, Pfftt... I wish. Don't have time though.
sadness,"Mom asking if I'm feeling better after dargah visit. Dad swears he sees +ve &quot;change&quot;.  I am amused.   But yeah, still depressed"
sadness,Their songs make me want to cry..
sadness, aww dont cry ashley
surprise,"Oops, they don't open until 9am"
sadness,My siblings left me alone.   Bored. (:|
sadness,In the bus... Almost an hour late because of my crappy alarm clock  should be in Leeuwarden at about 9:45
sadness,I wish my grandmother had taken me to the US with her
sadness, I just heard that Regina girls song @ les deux! And I think u should/have 2 come back 2 mc! I miss u
sadness,"bummed i didnt get to see manchester orchestra bc it was sold out, i spent all night buying tv shows on itunes  lame"
surprise, what about me?
sadness,"Well thats me for the day, watching Panthers tonight beat the Saints (fingers crossed) cause there are no QLD teams playing this round"
sadness," I can't this weekend, sorry  And Steph is working."
sadness,just got home. im so effin sad
sadness, cheer up lizzi there will b another foh hero concert   but still i suppose we can b upset  xoxoxo
sadness," Sadly, it doesn't  I was so hopeful after American Doll Posse, too ... it's just so blah and vacant of dynamic."
sadness, ...that's a miserable afterparty report
sadness,Not excited of blowing out another candle today... [as when I was a kid!]
sadness,sigh....it's always so sad when you watch the series finale....no more green wing left to watch
anger,I tried to dye my hair and all i got was a blond chunk in the front middle part of my hair. Dang.
sadness,Got the BrainBone daily question wrong!  - http://bit.ly/11dd2T
sadness,The fam back on the Big Island said the vog has been so bad that they can't see the ocean. Sad!
surprise,"NOOOOO! serena and darrian don't remember each other, and i've been waiting all day to see them confess their love"
sadness,"A sunny morning in the Big K, with lawns to mow and a 2 mile to run to attempt, urgh"
anger,&quot;locked up abroad&quot; makes bein half brown good risk mgmt when travelin 3rd world. i blend. i feel sorry for my hostage magnet white pepo
surprise, THEN Y R U LEAVN???? STAY!?
surprise," i'm sorry! lol i have never had, like, actual time to spend there unfortunately. everything's always been INSANE when i go"
surprise," That's right! I totally forgot. Might not be till August, though    Have a great summer!!"
sadness, Ohh Emmm Geee. Souvlaki from Dimitris...I wanna go homeeee  LOL
sadness,Wants milk
sadness, whys your cat in pain?
sadness,aww my poor tank friend.    his guild is fucking him over after promising him main OT. he barely even gets to go now.  ;_;
sadness, yeah... it is very very dry down here
sadness,god it pisses me off that i always enter comps &amp; never win.I am such a sore loser
sadness,Canï¿½t stop loosing.  Worst month results ever... Bubble two times in a row.
surprise,I was awake until 12:45am then my mum turned the internet off so i couldnt watch the  live chat i was ccrying i was sad
sadness,"Time for bed, oh how I wish someone was laying next to me"
surprise,???-?? ? youtube ? ????
surprise, No twitpic?  lol
surprise,  awwww i have no internet right now....  -drummer boi
sadness,Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink
sadness,OMG sore shoulder
sadness," No. As a result, the salary is a decrease"
sadness,Can I get tonight's SYTYCD online anywhere...streamed like Hulu or paid like iTunes. I missed my favorite judge and now I can't sleep.
sadness,"I feel sick..like don't wanna get out of bed, be bothered, don't go 2 work, turn da light off, pull da shades n tv off type of sick"
sadness,"  oist the 1st tym, di pa ko 18, the 2nd tym, may sakit na siya... don't blame me"
sadness,Why don't we close the library due to the great weather?  And the ac isn't working  #fb
sadness,Time to do house chores! Ugh!
sadness,"getting ready for school.. reading what's going on on set in Montepulciano, and practically crying cause i'm not there"
sadness,missing Taylor like crazy  cant wait till he's back
sadness,Had a good day till he twisted his ankle on his two mile run
surprise,"Bing! no its not Chandler Bing, its the new Search engine from Microsoft http://tinyurl.com/mgcotd ..but why the name Bing"
surprise,aw got orthodontist today
sadness, yooo! Its rainin dumb hard out.
sadness,"Changed my hairstyle,but it isn't good as it supposed to be~~N I don't think it wealthed that much money..  hate that hairdresser~~;("
sadness, yeah dnt go there.. I have 3 dif apps on my phone for it  so sad but there is a reason as to why lol
sadness,Um k.. this is NOT Close My Eyes.. this song always makes me cry bc my mom is gone but I &lt;3 it anyway..
sadness," I know, that is so sad.  I"
anger,  damned hordies
sadness,"  Didn't drink enough for a hangover, just tired and over worked"
surprise,my cheeeks hurt so bad. what happened!?
sadness,Just awoke in a completely freaked out frantic frenzy.  It's going to be a long night.
sadness,where's enthusiasm in meeeee
surprise, aww i don't! i guess that's why it doesnt  (blackberrymessenger)
sadness,"drinking some really nice coffee, got to go to the dentist at 9am this morning"
surprise,looks like my ION-based mini-itx board won't ship until mid-June now at the earliest
sadness, did u watch the day the earth stood still? did u not see my bye when u got d/c...  im sad i left 2 and now ur gone  ily&lt;333
sadness,#DepecheMode concert next week cancelled  Alternative date not known yet. Dave Gahan had a tumor.
sadness,"its 2:08 am. I CAN'T SLEEP!!!!!  i thought it was b/c im hungry, so i whipped up a pb&amp;j with milk. hopefully it works!!!!"
sadness,Only 1 tweet in the last 24 hours?  Nobody likes my tweetboard
sadness,i'm so bored i can barely even tweet. i have nothing to talk about.  #boredboots
sadness,"my head is killing me, i keep sneezing, and i think my boyfriend fell asleep. greaaat"
sadness,roughnight
sadness,Tired. About to climb into bed and fall asleep. I hope this weekend will be fun... I only have a couple of weeks left
sadness,"Bad day, just got worse..."
sadness, It is a recession
